Date,Close
2015-01-02,75.83000183105469
2015-01-05,74.69999694824219
2015-01-06,73.62000274658203
2015-01-07,74.29000091552734
2015-01-08,75.7699966430664
2015-01-09,75.22000122070312
2015-01-12,74.41999816894531
2015-01-13,74.54000091552734
2015-01-14,74.69000244140625
2015-01-15,74.45999908447266
2015-01-16,75.05000305175781
2015-01-20,75.20999908447266
2015-01-21,75.7300033569336
2015-01-22,76.1500015258789
2015-01-23,75.8499984741211
2015-01-26,76.19000244140625
2015-01-27,76.04000091552734
2015-01-28,75.5199966430664
2015-01-29,76.13999938964844
2015-01-30,75.05999755859375
2015-02-02,75.56999969482422
2015-02-03,75.5999984741211
2015-02-04,75.95999908447266
2015-02-05,76.7699966430664
2015-02-06,75.56999969482422
2015-02-09,74.66999816894531
2015-02-10,75.7699966430664
2015-02-11,75.94999694824219
2015-02-12,76.38999938964844
2015-02-13,73.0999984741211
2015-02-17,72.77999877929688
2015-02-18,73.27999877929688
2015-02-19,73.23999786376953
2015-02-20,73.76000213623047
2015-02-23,73.86000061035156
2015-02-24,72.93000030517578
2015-02-25,73.93000030517578
2015-02-26,74.30000305175781
2015-02-27,74.5999984741211
2015-03-02,75.55999755859375
2015-03-03,75.88999938964844
2015-03-04,76.75
2015-03-05,76.93000030517578
2015-03-06,77.62999725341797
2015-03-09,78.0
2015-03-10,78.0999984741211
2015-03-11,79.41000366210938
2015-03-12,79.69999694824219
2015-03-13,80.80999755859375
2015-03-16,81.41000366210938
2015-03-17,81.11000061035156
2015-03-18,81.63999938964844
2015-03-19,81.44000244140625
2015-03-20,81.86000061035156
2015-03-23,82.83999633789062
2015-03-24,82.19000244140625
2015-03-25,81.05000305175781
2015-03-26,81.06999969482422
2015-03-27,81.83000183105469
2015-03-30,82.16999816894531
2015-03-31,81.27999877929688
2015-04-01,80.05000305175781
2015-04-02,80.58999633789062
2015-04-06,81.47000122070312
2015-04-07,81.86000061035156
2015-04-08,81.73999786376953
2015-04-09,81.5199966430664
2015-04-10,81.9000015258789
2015-04-13,81.76000213623047
2015-04-14,82.01000213623047
2015-04-15,81.61000061035156
2015-04-16,82.12999725341797
2015-04-17,81.26000213623047
2015-04-20,81.83999633789062
2015-04-21,83.12000274658203
2015-04-22,83.22000122070312
2015-04-23,83.41000366210938
2015-04-24,83.91000366210938
2015-04-27,83.79000091552734
2015-04-28,83.58999633789062
2015-04-29,82.63999938964844
2015-04-30,81.0999984741211
2015-05-01,82.4000015258789
2015-05-04,82.33999633789062
2015-05-05,81.51000213623047
2015-05-06,81.41000366210938
2015-05-07,81.76000213623047
2015-05-08,82.16999816894531
2015-05-11,81.58999633789062
2015-05-12,80.91999816894531
2015-05-13,80.9800033569336
2015-05-14,81.86000061035156
